region,regionGSSCode,period,Sales volume,reportingPeriod,avgPrice,date
London,E12000007,2007-01,12794,monthly,267658,01/01/2007
North East,E12000001,2007-01,3904,monthly,132508,01/01/2007
South East,E12000008,2007-01,15462,monthly,220546,01/01/2007
South West,E12000009,2007-01,9198,monthly,197597,01/01/2007
West Midlands Region,E12000005,2007-01,7705,monthly,157384,01/01/2007
London,E12000007,2007-02,12194,monthly,270780,01/02/2007
North East,E12000001,2007-02,4014,monthly,131175,01/02/2007
South East,E12000008,2007-02,14947,monthly,219879,01/02/2007
South West,E12000009,2007-02,8926,monthly,198960,01/02/2007
West Midlands Region,E12000005,2007-02,7614,monthly,157787,01/02/2007
London,E12000007,2007-03,14546,monthly,273479,01/03/2007
North East,E12000001,2007-03,5267,monthly,132120,01/03/2007
South East,E12000008,2007-03,17562,monthly,221581,01/03/2007
South West,E12000009,2007-03,10691,monthly,201839,01/03/2007
West Midlands Region,E12000005,2007-03,9816,monthly,158644,01/03/2007
London,E12000007,2007-04,12568,monthly,278805,01/04/2007
North East,E12000001,2007-04,4734,monthly,135047,01/04/2007
South East,E12000008,2007-04,15898,monthly,225548,01/04/2007
South West,E12000009,2007-04,10207,monthly,202684,01/04/2007
West Midlands Region,E12000005,2007-04,8414,monthly,161809,01/04/2007
London,E12000007,2007-05,14059,monthly,282726,01/05/2007
North East,E12000001,2007-05,5560,monthly,135645,01/05/2007
South East,E12000008,2007-05,18656,monthly,230061,01/05/2007
South West,E12000009,2007-05,11573,monthly,205886,01/05/2007
West Midlands Region,E12000005,2007-05,9436,monthly,162202,01/05/2007
London,E12000007,2007-06,15799,monthly,285958,01/06/2007
North East,E12000001,2007-06,6406,monthly,137655,01/06/2007
South East,E12000008,2007-06,21237,monthly,231684,01/06/2007
South West,E12000009,2007-06,12697,monthly,207413,01/06/2007
West Midlands Region,E12000005,2007-06,11228,monthly,162624,01/06/2007
London,E12000007,2007-07,16037,monthly,295694,01/07/2007
North East,E12000001,2007-07,5765,monthly,139400,01/07/2007
South East,E12000008,2007-07,20581,monthly,235796,01/07/2007
South West,E12000009,2007-07,12180,monthly,210108,01/07/2007
West Midlands Region,E12000005,2007-07,10099,monthly,163918,01/07/2007
London,E12000007,2007-08,16824,monthly,297653,01/08/2007
North East,E12000001,2007-08,5930,monthly,138535,01/08/2007
South East,E12000008,2007-08,22453,monthly,236007,01/08/2007
South West,E12000009,2007-08,13440,monthly,211402,01/08/2007
West Midlands Region,E12000005,2007-08,10693,monthly,165807,01/08/2007
London,E12000007,2007-09,13748,monthly,298414,01/09/2007
North East,E12000001,2007-09,4766,monthly,138306,01/09/2007
South East,E12000008,2007-09,17077,monthly,238302,01/09/2007
South West,E12000009,2007-09,10286,monthly,212666,01/09/2007
West Midlands Region,E12000005,2007-09,8677,monthly,165011,01/09/2007
London,E12000007,2007-10,13890,monthly,298559,01/10/2007
North East,E12000001,2007-10,5077,monthly,137946,01/10/2007
South East,E12000008,2007-10,18164,monthly,238845,01/10/2007
South West,E12000009,2007-10,10733,monthly,211641,01/10/2007
West Midlands Region,E12000005,2007-10,9137,monthly,165390,01/10/2007
London,E12000007,2007-11,13174,monthly,297648,01/11/2007
North East,E12000001,2007-11,5193,monthly,138832,01/11/2007
South East,E12000008,2007-11,17067,monthly,238670,01/11/2007
South West,E12000009,2007-11,10170,monthly,211624,01/11/2007
West Midlands Region,E12000005,2007-11,9266,monthly,164201,01/11/2007
London,E12000007,2007-12,9938,monthly,297994,01/12/2007
North East,E12000001,2007-12,4126,monthly,138507,01/12/2007
South East,E12000008,2007-12,13779,monthly,237099,01/12/2007
South West,E12000009,2007-12,8667,monthly,209153,01/12/2007
West Midlands Region,E12000005,2007-12,7362,monthly,165241,01/12/2007
London,E12000007,2008-01,8541,monthly,298596,01/01/2008
North East,E12000001,2008-01,2800,monthly,135418,01/01/2008
South East,E12000008,2008-01,9842,monthly,235300,01/01/2008
South West,E12000009,2008-01,5812,monthly,207936,01/01/2008
West Midlands Region,E12000005,2008-01,5045,monthly,161758,01/01/2008
London,E12000007,2008-02,8773,monthly,295700,01/02/2008
North East,E12000001,2008-02,2919,monthly,135027,01/02/2008
South East,E12000008,2008-02,10386,monthly,231825,01/02/2008
South West,E12000009,2008-02,6075,monthly,203729,01/02/2008
West Midlands Region,E12000005,2008-02,5630,monthly,162208,01/02/2008
London,E12000007,2008-03,8002,monthly,293605,01/03/2008
North East,E12000001,2008-03,2952,monthly,133568,01/03/2008
South East,E12000008,2008-03,9643,monthly,232495,01/03/2008
South West,E12000009,2008-03,5667,monthly,202208,01/03/2008
West Midlands Region,E12000005,2008-03,5244,monthly,160432,01/03/2008
London,E12000007,2008-04,8074,monthly,294346,01/04/2008
North East,E12000001,2008-04,3098,monthly,135960,01/04/2008
South East,E12000008,2008-04,10465,monthly,230863,01/04/2008
South West,E12000009,2008-04,6612,monthly,203157,01/04/2008
West Midlands Region,E12000005,2008-04,5761,monthly,159743,01/04/2008
London,E12000007,2008-05,8075,monthly,295163,01/05/2008
North East,E12000001,2008-05,3163,monthly,137087,01/05/2008
South East,E12000008,2008-05,11241,monthly,232076,01/05/2008
South West,E12000009,2008-05,7034,monthly,203439,01/05/2008
West Midlands Region,E12000005,2008-05,5996,monthly,161333,01/05/2008
London,E12000007,2008-06,7540,monthly,290100,01/06/2008
North East,E12000001,2008-06,2827,monthly,135464,01/06/2008
South East,E12000008,2008-06,10213,monthly,229212,01/06/2008
South West,E12000009,2008-06,6295,monthly,199568,01/06/2008
West Midlands Region,E12000005,2008-06,5611,monthly,159656,01/06/2008
London,E12000007,2008-07,6935,monthly,290261,01/07/2008
North East,E12000001,2008-07,2488,monthly,132306,01/07/2008
South East,E12000008,2008-07,9011,monthly,227808,01/07/2008
South West,E12000009,2008-07,5618,monthly,198090,01/07/2008
West Midlands Region,E12000005,2008-07,4826,monthly,156057,01/07/2008
London,E12000007,2008-08,5982,monthly,281721,01/08/2008
North East,E12000001,2008-08,2119,monthly,131545,01/08/2008
South East,E12000008,2008-08,8965,monthly,220523,01/08/2008
South West,E12000009,2008-08,5276,monthly,194290,01/08/2008
West Midlands Region,E12000005,2008-08,4395,monthly,153811,01/08/2008
London,E12000007,2008-09,5191,monthly,276487,01/09/2008
North East,E12000001,2008-09,1954,monthly,126926,01/09/2008
South East,E12000008,2008-09,7326,monthly,215167,01/09/2008
South West,E12000009,2008-09,4612,monthly,190686,01/09/2008
West Midlands Region,E12000005,2008-09,3746,monthly,151810,01/09/2008
London,E12000007,2008-10,5225,monthly,266999,01/10/2008
North East,E12000001,2008-10,1999,monthly,124448,01/10/2008
South East,E12000008,2008-10,7821,monthly,209022,01/10/2008
South West,E12000009,2008-10,5068,monthly,186431,01/10/2008
West Midlands Region,E12000005,2008-10,4101,monthly,148779,01/10/2008
London,E12000007,2008-11,4078,monthly,258647,01/11/2008
North East,E12000001,2008-11,1713,monthly,123884,01/11/2008
South East,E12000008,2008-11,6293,monthly,203088,01/11/2008
South West,E12000009,2008-11,4088,monthly,179719,01/11/2008
West Midlands Region,E12000005,2008-11,3376,monthly,144774,01/11/2008
London,E12000007,2008-12,4505,monthly,253881,01/12/2008
North East,E12000001,2008-12,1710,monthly,120275,01/12/2008
South East,E12000008,2008-12,7110,monthly,200350,01/12/2008
South West,E12000009,2008-12,4822,monthly,175280,01/12/2008
West Midlands Region,E12000005,2008-12,3472,monthly,141893,01/12/2008
London,E12000007,2009-01,3269,monthly,253093,01/01/2009
North East,E12000001,2009-01,1138,monthly,118710,01/01/2009
South East,E12000008,2009-01,5129,monthly,194568,01/01/2009
South West,E12000009,2009-01,3040,monthly,173483,01/01/2009
West Midlands Region,E12000005,2009-01,2356,monthly,139999,01/01/2009
London,E12000007,2009-02,3251,monthly,249847,01/02/2009
North East,E12000001,2009-02,1200,monthly,117221,01/02/2009
South East,E12000008,2009-02,4907,monthly,191720,01/02/2009
South West,E12000009,2009-02,3286,monthly,173252,01/02/2009
West Midlands Region,E12000005,2009-02,2566,monthly,138503,01/02/2009
London,E12000007,2009-03,4097,monthly,247264,01/03/2009
North East,E12000001,2009-03,1680,monthly,117079,01/03/2009
South East,E12000008,2009-03,6482,monthly,191156,01/03/2009
South West,E12000009,2009-03,4207,monthly,171666,01/03/2009
West Midlands Region,E12000005,2009-03,3224,monthly,136966,01/03/2009
London,E12000007,2009-04,4323,monthly,245351,01/04/2009
North East,E12000001,2009-04,1708,monthly,118270,01/04/2009
South East,E12000008,2009-04,7214,monthly,193112,01/04/2009
South West,E12000009,2009-04,4753,monthly,171356,01/04/2009
West Midlands Region,E12000005,2009-04,3376,monthly,137313,01/04/2009
London,E12000007,2009-05,5011,monthly,249991,01/05/2009
North East,E12000001,2009-05,1998,monthly,119532,01/05/2009
South East,E12000008,2009-05,8509,monthly,196756,01/05/2009
South West,E12000009,2009-05,5754,monthly,174181,01/05/2009
West Midlands Region,E12000005,2009-05,3865,monthly,139243,01/05/2009
London,E12000007,2009-06,6001,monthly,253596,01/06/2009
North East,E12000001,2009-06,2218,monthly,120823,01/06/2009
South East,E12000008,2009-06,10151,monthly,199318,01/06/2009
South West,E12000009,2009-06,6581,monthly,177983,01/06/2009
West Midlands Region,E12000005,2009-06,4470,monthly,139485,01/06/2009
London,E12000007,2009-07,7900,monthly,259793,01/07/2009
North East,E12000001,2009-07,2277,monthly,120952,01/07/2009
South East,E12000008,2009-07,12207,monthly,202557,01/07/2009
South West,E12000009,2009-07,7644,monthly,179938,01/07/2009
West Midlands Region,E12000005,2009-07,5279,monthly,143597,01/07/2009
London,E12000007,2009-08,7548,monthly,262076,01/08/2009
North East,E12000001,2009-08,2126,monthly,122676,01/08/2009
South East,E12000008,2009-08,11294,monthly,206729,01/08/2009
South West,E12000009,2009-08,7145,monthly,181846,01/08/2009
West Midlands Region,E12000005,2009-08,4887,monthly,144704,01/08/2009
London,E12000007,2009-09,7920,monthly,267501,01/09/2009
North East,E12000001,2009-09,2098,monthly,123725,01/09/2009
South East,E12000008,2009-09,11320,monthly,209426,01/09/2009
South West,E12000009,2009-09,7165,monthly,184484,01/09/2009
West Midlands Region,E12000005,2009-09,4779,monthly,144956,01/09/2009
London,E12000007,2009-10,8449,monthly,268780,01/10/2009
North East,E12000001,2009-10,2438,monthly,123135,01/10/2009
South East,E12000008,2009-10,12281,monthly,210508,01/10/2009
South West,E12000009,2009-10,7984,monthly,184995,01/10/2009
West Midlands Region,E12000005,2009-10,5648,monthly,146929,01/10/2009
London,E12000007,2009-11,7962,monthly,266837,01/11/2009
North East,E12000001,2009-11,2139,monthly,124131,01/11/2009
South East,E12000008,2009-11,11681,monthly,212153,01/11/2009
South West,E12000009,2009-11,7375,monthly,185919,01/11/2009
West Midlands Region,E12000005,2009-11,5002,monthly,146230,01/11/2009
London,E12000007,2009-12,9500,monthly,270118,01/12/2009
North East,E12000001,2009-12,2934,monthly,125208,01/12/2009
South East,E12000008,2009-12,14941,monthly,211679,01/12/2009
South West,E12000009,2009-12,9799,monthly,186816,01/12/2009
West Midlands Region,E12000005,2009-12,6360,monthly,148354,01/12/2009
London,E12000007,2010-01,6212,monthly,279724,01/01/2010
North East,E12000001,2010-01,1363,monthly,119947,01/01/2010
South East,E12000008,2010-01,6601,monthly,217936,01/01/2010
South West,E12000009,2010-01,3872,monthly,188404,01/01/2010
West Midlands Region,E12000005,2010-01,2914,monthly,146424,01/01/2010
London,E12000007,2010-02,6312,monthly,278753,01/02/2010
North East,E12000001,2010-02,1632,monthly,121984,01/02/2010
South East,E12000008,2010-02,8008,monthly,217339,01/02/2010
South West,E12000009,2010-02,4734,monthly,189126,01/02/2010
West Midlands Region,E12000005,2010-02,3423,monthly,147484,01/02/2010
London,E12000007,2010-03,7308,monthly,280472,01/03/2010
North East,E12000001,2010-03,1851,monthly,123110,01/03/2010
South East,E12000008,2010-03,9308,monthly,216665,01/03/2010
South West,E12000009,2010-03,5742,monthly,188491,01/03/2010
West Midlands Region,E12000005,2010-03,4286,monthly,146692,01/03/2010
London,E12000007,2010-04,7032,monthly,281981,01/04/2010
North East,E12000001,2010-04,2080,monthly,123415,01/04/2010
South East,E12000008,2010-04,9428,monthly,218270,01/04/2010
South West,E12000009,2010-04,6178,monthly,190514,01/04/2010
West Midlands Region,E12000005,2010-04,4417,monthly,149119,01/04/2010
London,E12000007,2010-05,7106,monthly,281762,01/05/2010
North East,E12000001,2010-05,2018,monthly,122873,01/05/2010
South East,E12000008,2010-05,9441,monthly,220434,01/05/2010
South West,E12000009,2010-05,6113,monthly,192511,01/05/2010
West Midlands Region,E12000005,2010-05,4263,monthly,149465,01/05/2010
London,E12000007,2010-06,8756,monthly,284541,01/06/2010
North East,E12000001,2010-06,2557,monthly,123620,01/06/2010
South East,E12000008,2010-06,11478,monthly,222047,01/06/2010
South West,E12000009,2010-06,7417,monthly,193285,01/06/2010
West Midlands Region,E12000005,2010-06,5134,monthly,150817,01/06/2010
London,E12000007,2010-07,9461,monthly,292772,01/07/2010
North East,E12000001,2010-07,2623,monthly,123348,01/07/2010
South East,E12000008,2010-07,12572,monthly,224554,01/07/2010
South West,E12000009,2010-07,7788,monthly,194617,01/07/2010
West Midlands Region,E12000005,2010-07,5691,monthly,151124,01/07/2010
London,E12000007,2010-08,8570,monthly,290646,01/08/2010
North East,E12000001,2010-08,2320,monthly,126174,01/08/2010
South East,E12000008,2010-08,11769,monthly,224123,01/08/2010
South West,E12000009,2010-08,7117,monthly,196163,01/08/2010
West Midlands Region,E12000005,2010-08,5194,monthly,150663,01/08/2010
London,E12000007,2010-09,8194,monthly,290093,01/09/2010
North East,E12000001,2010-09,2213,monthly,122224,01/09/2010
South East,E12000008,2010-09,10823,monthly,224587,01/09/2010
South West,E12000009,2010-09,6796,monthly,195803,01/09/2010
West Midlands Region,E12000005,2010-09,4891,monthly,152089,01/09/2010
London,E12000007,2010-10,7871,monthly,286131,01/10/2010
North East,E12000001,2010-10,2331,monthly,124799,01/10/2010
South East,E12000008,2010-10,10583,monthly,221298,01/10/2010
South West,E12000009,2010-10,6862,monthly,194165,01/10/2010
West Midlands Region,E12000005,2010-10,5118,monthly,149193,01/10/2010
London,E12000007,2010-11,7663,monthly,282290,01/11/2010
North East,E12000001,2010-11,2095,monthly,120265,01/11/2010
South East,E12000008,2010-11,10240,monthly,219815,01/11/2010
South West,E12000009,2010-11,6509,monthly,191693,01/11/2010
West Midlands Region,E12000005,2010-11,4768,monthly,149168,01/11/2010
London,E12000007,2010-12,7448,monthly,285353,01/12/2010
North East,E12000001,2010-12,2338,monthly,119688,01/12/2010
South East,E12000008,2010-12,10343,monthly,218657,01/12/2010
South West,E12000009,2010-12,6617,monthly,189735,01/12/2010
West Midlands Region,E12000005,2010-12,4973,monthly,148525,01/12/2010
London,E12000007,2011-01,5870,monthly,287983,01/01/2011
North East,E12000001,2011-01,1458,monthly,117111,01/01/2011
South East,E12000008,2011-01,6847,monthly,216680,01/01/2011
South West,E12000009,2011-01,3992,monthly,188992,01/01/2011
West Midlands Region,E12000005,2011-01,3144,monthly,146490,01/01/2011
London,E12000007,2011-02,5796,monthly,285227,01/02/2011
North East,E12000001,2011-02,1541,monthly,116809,01/02/2011
South East,E12000008,2011-02,7278,monthly,217190,01/02/2011
South West,E12000009,2011-02,4297,monthly,187669,01/02/2011
West Midlands Region,E12000005,2011-02,3347,monthly,144486,01/02/2011
London,E12000007,2011-03,6675,monthly,287092,01/03/2011
North East,E12000001,2011-03,2060,monthly,115711,01/03/2011
South East,E12000008,2011-03,8146,monthly,215778,01/03/2011
South West,E12000009,2011-03,5123,monthly,187586,01/03/2011
West Midlands Region,E12000005,2011-03,4000,monthly,143209,01/03/2011
London,E12000007,2011-04,6903,monthly,293993,01/04/2011
North East,E12000001,2011-04,2157,monthly,119438,01/04/2011
South East,E12000008,2011-04,9007,monthly,218178,01/04/2011
South West,E12000009,2011-04,5864,monthly,188251,01/04/2011
West Midlands Region,E12000005,2011-04,4289,monthly,145562,01/04/2011
London,E12000007,2011-05,6460,monthly,284722,01/05/2011
North East,E12000001,2011-05,2056,monthly,119979,01/05/2011
South East,E12000008,2011-05,8827,monthly,218577,01/05/2011
South West,E12000009,2011-05,5577,monthly,187412,01/05/2011
West Midlands Region,E12000005,2011-05,4121,monthly,145692,01/05/2011
London,E12000007,2011-06,7846,monthly,285906,01/06/2011
North East,E12000001,2011-06,2476,monthly,119671,01/06/2011
South East,E12000008,2011-06,10180,monthly,219162,01/06/2011
South West,E12000009,2011-06,6522,monthly,189494,01/06/2011
West Midlands Region,E12000005,2011-06,5046,monthly,145807,01/06/2011
London,E12000007,2011-07,8742,monthly,295843,01/07/2011
North East,E12000001,2011-07,2514,monthly,117616,01/07/2011
South East,E12000008,2011-07,11588,monthly,222005,01/07/2011
South West,E12000009,2011-07,6992,monthly,191264,01/07/2011
West Midlands Region,E12000005,2011-07,5252,monthly,146184,01/07/2011
London,E12000007,2011-08,8998,monthly,294903,01/08/2011
North East,E12000001,2011-08,2436,monthly,116961,01/08/2011
South East,E12000008,2011-08,12033,monthly,220344,01/08/2011
South West,E12000009,2011-08,7390,monthly,191964,01/08/2011
West Midlands Region,E12000005,2011-08,5272,monthly,146183,01/08/2011
London,E12000007,2011-09,8707,monthly,295358,01/09/2011
North East,E12000001,2011-09,2580,monthly,117236,01/09/2011
South East,E12000008,2011-09,11957,monthly,221239,01/09/2011
South West,E12000009,2011-09,7280,monthly,189499,01/09/2011
West Midlands Region,E12000005,2011-09,5379,monthly,147655,01/09/2011
London,E12000007,2011-10,7871,monthly,292267,01/10/2011
North East,E12000001,2011-10,2261,monthly,116238,01/10/2011
South East,E12000008,2011-10,10459,monthly,218309,01/10/2011
South West,E12000009,2011-10,6777,monthly,189765,01/10/2011
West Midlands Region,E12000005,2011-10,5050,monthly,144812,01/10/2011
London,E12000007,2011-11,7956,monthly,291036,01/11/2011
North East,E12000001,2011-11,2480,monthly,117028,01/11/2011
South East,E12000008,2011-11,11216,monthly,219732,01/11/2011
South West,E12000009,2011-11,6873,monthly,188933,01/11/2011
West Midlands Region,E12000005,2011-11,5200,monthly,145825,01/11/2011
London,E12000007,2011-12,8217,monthly,292284,01/12/2011
North East,E12000001,2011-12,2618,monthly,115328,01/12/2011
South East,E12000008,2011-12,11844,monthly,219371,01/12/2011
South West,E12000009,2011-12,7314,monthly,187426,01/12/2011
West Midlands Region,E12000005,2011-12,5634,monthly,143628,01/12/2011
London,E12000007,2012-01,6531,monthly,294360,01/01/2012
North East,E12000001,2012-01,1694,monthly,113011,01/01/2012
South East,E12000008,2012-01,8014,monthly,217660,01/01/2012
South West,E12000009,2012-01,5096,monthly,189942,01/01/2012
West Midlands Region,E12000005,2012-01,3688,monthly,145071,01/01/2012
London,E12000007,2012-02,6659,monthly,292381,01/02/2012
North East,E12000001,2012-02,1640,monthly,113852,01/02/2012
South East,E12000008,2012-02,8297,monthly,218487,01/02/2012
South West,E12000009,2012-02,5198,monthly,189653,01/02/2012
West Midlands Region,E12000005,2012-02,3769,monthly,143615,01/02/2012
London,E12000007,2012-03,9099,monthly,290379,01/03/2012
North East,E12000001,2012-03,2368,monthly,116622,01/03/2012
South East,E12000008,2012-03,11451,monthly,219094,01/03/2012
South West,E12000009,2012-03,6908,monthly,188079,01/03/2012
West Midlands Region,E12000005,2012-03,5350,monthly,144779,01/03/2012
London,E12000007,2012-04,5961,monthly,299065,01/04/2012
North East,E12000001,2012-04,1795,monthly,116031,01/04/2012
South East,E12000008,2012-04,7533,monthly,223223,01/04/2012
South West,E12000009,2012-04,4890,monthly,190924,01/04/2012
West Midlands Region,E12000005,2012-04,3737,monthly,144490,01/04/2012
London,E12000007,2012-05,7374,monthly,304081,01/05/2012
North East,E12000001,2012-05,2160,monthly,115601,01/05/2012
South East,E12000008,2012-05,9560,monthly,223509,01/05/2012
South West,E12000009,2012-05,5929,monthly,190367,01/05/2012
West Midlands Region,E12000005,2012-05,4490,monthly,144126,01/05/2012
London,E12000007,2012-06,8132,monthly,306823,01/06/2012
North East,E12000001,2012-06,2579,monthly,117444,01/06/2012
South East,E12000008,2012-06,10728,monthly,224379,01/06/2012
South West,E12000009,2012-06,6715,monthly,191813,01/06/2012
West Midlands Region,E12000005,2012-06,5205,monthly,147713,01/06/2012
London,E12000007,2012-07,8751,monthly,308962,01/07/2012
North East,E12000001,2012-07,2104,monthly,117137,01/07/2012
South East,E12000008,2012-07,11204,monthly,226770,01/07/2012
South West,E12000009,2012-07,6815,monthly,193530,01/07/2012
West Midlands Region,E12000005,2012-07,4909,monthly,147399,01/07/2012
London,E12000007,2012-08,9073,monthly,310043,01/08/2012
North East,E12000001,2012-08,2458,monthly,119749,01/08/2012
South East,E12000008,2012-08,12557,monthly,227861,01/08/2012
South West,E12000009,2012-08,7640,monthly,192032,01/08/2012
West Midlands Region,E12000005,2012-08,5469,monthly,147401,01/08/2012
London,E12000007,2012-09,7906,monthly,308469,01/09/2012
North East,E12000001,2012-09,2015,monthly,118194,01/09/2012
South East,E12000008,2012-09,10140,monthly,228457,01/09/2012
South West,E12000009,2012-09,6017,monthly,191674,01/09/2012
West Midlands Region,E12000005,2012-09,4382,monthly,147227,01/09/2012
London,E12000007,2012-10,8146,monthly,310281,01/10/2012
North East,E12000001,2012-10,2361,monthly,116854,01/10/2012
South East,E12000008,2012-10,10976,monthly,224927,01/10/2012
South West,E12000009,2012-10,6771,monthly,191820,01/10/2012
West Midlands Region,E12000005,2012-10,4927,monthly,145709,01/10/2012
London,E12000007,2012-11,8626,monthly,308540,01/11/2012
North East,E12000001,2012-11,2502,monthly,116777,01/11/2012
South East,E12000008,2012-11,11577,monthly,224563,01/11/2012
South West,E12000009,2012-11,7187,monthly,191426,01/11/2012
West Midlands Region,E12000005,2012-11,5706,monthly,146988,01/11/2012
London,E12000007,2012-12,7601,monthly,313744,01/12/2012
North East,E12000001,2012-12,2354,monthly,114860,01/12/2012
South East,E12000008,2012-12,10312,monthly,225865,01/12/2012
South West,E12000009,2012-12,6484,monthly,187901,01/12/2012
West Midlands Region,E12000005,2012-12,4820,monthly,147386,01/12/2012
London,E12000007,2013-01,6834,monthly,311364,01/01/2013
North East,E12000001,2013-01,1582,monthly,113585,01/01/2013
South East,E12000008,2013-01,8108,monthly,225210,01/01/2013
South West,E12000009,2013-01,4677,monthly,189820,01/01/2013
West Midlands Region,E12000005,2013-01,3526,monthly,145005,01/01/2013
London,E12000007,2013-02,6693,monthly,313550,01/02/2013
North East,E12000001,2013-02,1697,monthly,112008,01/02/2013
South East,E12000008,2013-02,8163,monthly,223861,01/02/2013
South West,E12000009,2013-02,4943,monthly,189236,01/02/2013
West Midlands Region,E12000005,2013-02,4023,monthly,145470,01/02/2013
London,E12000007,2013-03,7663,monthly,312289,01/03/2013
North East,E12000001,2013-03,2212,monthly,115161,01/03/2013
South East,E12000008,2013-03,9491,monthly,225295,01/03/2013
South West,E12000009,2013-03,5972,monthly,190494,01/03/2013
West Midlands Region,E12000005,2013-03,4742,monthly,145983,01/03/2013
London,E12000007,2013-04,7388,monthly,320921,01/04/2013
North East,E12000001,2013-04,2016,monthly,115330,01/04/2013
South East,E12000008,2013-04,9101,monthly,227862,01/04/2013
South West,E12000009,2013-04,5652,monthly,193336,01/04/2013
West Midlands Region,E12000005,2013-04,4243,monthly,146320,01/04/2013
London,E12000007,2013-05,9010,monthly,322324,01/05/2013
North East,E12000001,2013-05,2618,monthly,115849,01/05/2013
South East,E12000008,2013-05,11770,monthly,228343,01/05/2013
South West,E12000009,2013-05,7337,monthly,192848,01/05/2013
West Midlands Region,E12000005,2013-05,5653,monthly,147312,01/05/2013
London,E12000007,2013-06,8930,monthly,324518,01/06/2013
North East,E12000001,2013-06,2764,monthly,115645,01/06/2013
South East,E12000008,2013-06,11961,monthly,230987,01/06/2013
South West,E12000009,2013-06,7521,monthly,193267,01/06/2013
West Midlands Region,E12000005,2013-06,5778,monthly,149457,01/06/2013
London,E12000007,2013-07,10889,monthly,332988,01/07/2013
North East,E12000001,2013-07,2698,monthly,118564,01/07/2013
South East,E12000008,2013-07,13795,monthly,233752,01/07/2013
South West,E12000009,2013-07,8260,monthly,195066,01/07/2013
West Midlands Region,E12000005,2013-07,6106,monthly,150343,01/07/2013
London,E12000007,2013-08,11153,monthly,335743,01/08/2013
North East,E12000001,2013-08,2870,monthly,120219,01/08/2013
South East,E12000008,2013-08,15122,monthly,234507,01/08/2013
South West,E12000009,2013-08,9214,monthly,196500,01/08/2013
West Midlands Region,E12000005,2013-08,6634,monthly,151665,01/08/2013
London,E12000007,2013-09,10276,monthly,340494,01/09/2013
North East,E12000001,2013-09,2651,monthly,119140,01/09/2013
South East,E12000008,2013-09,13167,monthly,235143,01/09/2013
South West,E12000009,2013-09,8118,monthly,198055,01/09/2013
West Midlands Region,E12000005,2013-09,5689,monthly,149816,01/09/2013
London,E12000007,2013-10,10935,monthly,340045,01/10/2013
North East,E12000001,2013-10,2933,monthly,112868,01/10/2013
South East,E12000008,2013-10,14569,monthly,235311,01/10/2013
South West,E12000009,2013-10,9061,monthly,197254,01/10/2013
West Midlands Region,E12000005,2013-10,6806,monthly,151179,01/10/2013
London,E12000007,2013-11,11427,monthly,343749,01/11/2013
North East,E12000001,2013-11,3237,monthly,116456,01/11/2013
South East,E12000008,2013-11,15099,monthly,237224,01/11/2013
South West,E12000009,2013-11,9815,monthly,197476,01/11/2013
West Midlands Region,E12000005,2013-11,7378,monthly,151495,01/11/2013
London,E12000007,2013-12,10775,monthly,352028,01/12/2013
North East,E12000001,2013-12,3277,monthly,116274,01/12/2013
South East,E12000008,2013-12,14971,monthly,238975,01/12/2013
South West,E12000009,2013-12,9321,monthly,198613,01/12/2013
West Midlands Region,E12000005,2013-12,6957,monthly,152008,01/12/2013
London,E12000007,2014-01,9966,monthly,355830,01/01/2014
North East,E12000001,2014-01,2614,monthly,114531,01/01/2014
