region,Region GSS code,Period,Sales volume,Reporting period,percentage Change ,date
North East,E12000001,2015-10,3582,monthly,2.44,01/10/2015
South East,E12000008,2015-10,16502,monthly,8.7,01/10/2015
South West,E12000009,2015-10,10353,monthly,5.69,01/10/2015
West Midlands Region,E12000005,2015-10,8479,monthly,4.77,01/10/2015
London,E12000007,2015-11,9752,monthly,11.15,01/11/2015
North East,E12000001,2015-11,3403,monthly,3.58,01/11/2015
South East,E12000008,2015-11,14653,monthly,9.71,01/11/2015
South West,E12000009,2015-11,9283,monthly,7.44,01/11/2015
West Midlands Region,E12000005,2015-11,7658,monthly,5.69,01/11/2015
London,E12000007,2015-12,9700,monthly,11.7,01/12/2015
North East,E12000001,2015-12,3351,monthly,4.04,01/12/2015
South East,E12000008,2015-12,14723,monthly,10.25,01/12/2015
South West,E12000009,2015-12,9766,monthly,7.22,01/12/2015
West Midlands Region,E12000005,2015-12,7671,monthly,5.63,01/12/2015
London,E12000007,2016-01,7927,monthly,13.56,01/01/2016
North East,E12000001,2016-01,2451,monthly,3.36,01/01/2016
South East,E12000008,2016-01,11281,monthly,10.88,01/01/2016
South West,E12000009,2016-01,7182,monthly,6.42,01/01/2016
West Midlands Region,E12000005,2016-01,5565,monthly,6.97,01/01/2016
London,E12000007,2016-02,8208,monthly,13.09,01/02/2016
North East,E12000001,2016-02,2627,monthly,2.16,01/02/2016
South East,E12000008,2016-02,11988,monthly,11.73,01/02/2016
South West,E12000009,2016-02,8027,monthly,8.32,01/02/2016
West Midlands Region,E12000005,2016-02,6160,monthly,5.18,01/02/2016
London,E12000007,2016-03,17501,monthly,14.81,01/03/2016
North East,E12000001,2016-03,4535,monthly,4.47,01/03/2016
South East,E12000008,2016-03,21531,monthly,13.24,01/03/2016
South West,E12000009,2016-03,14439,monthly,10.14,01/03/2016
West Midlands Region,E12000005,2016-03,11240,monthly,6.28,01/03/2016
London,E12000007,2016-04,5746,monthly,12.33,01/04/2016
North East,E12000001,2016-04,2381,monthly,0.73,01/04/2016
South East,E12000008,2016-04,9325,monthly,10.86,01/04/2016
South West,E12000009,2016-04,5901,monthly,6.1,01/04/2016
West Midlands Region,E12000005,2016-04,5303,monthly,6.89,01/04/2016
London,E12000007,2016-05,6617,monthly,12.43,01/05/2016
North East,E12000001,2016-05,2756,monthly,3.39,01/05/2016
South East,E12000008,2016-05,10633,monthly,11.08,01/05/2016
South West,E12000009,2016-05,7144,monthly,7.34,01/05/2016
West Midlands Region,E12000005,2016-05,6027,monthly,7.45,01/05/2016
London,E12000007,2016-06,8464,monthly,11.6,01/06/2016
North East,E12000001,2016-06,3499,monthly,3.52,01/06/2016
South East,E12000008,2016-06,13226,monthly,10.86,01/06/2016
South West,E12000009,2016-06,9089,monthly,7.41,01/06/2016
West Midlands Region,E12000005,2016-06,7231,monthly,7.5,01/06/2016
London,E12000007,2016-07,8794,monthly,10.17,01/07/2016
North East,E12000001,2016-07,3511,monthly,4.11,01/07/2016
South East,E12000008,2016-07,14114,monthly,10.43,01/07/2016
South West,E12000009,2016-07,9342,monthly,7.1,01/07/2016
West Midlands Region,E12000005,2016-07,7505,monthly,6.58,01/07/2016
London,E12000007,2016-08,8535,monthly,8.21,01/08/2016
North East,E12000001,2016-08,3241,monthly,2.02,01/08/2016
South East,E12000008,2016-08,14632,monthly,9.39,01/08/2016
South West,E12000009,2016-08,9821,monthly,6.1,01/08/2016
West Midlands Region,E12000005,2016-08,8011,monthly,6.61,01/08/2016
London,E12000007,2016-09,8275,monthly,7.29,01/09/2016
North East,E12000001,2016-09,3370,monthly,1.2,01/09/2016
South East,E12000008,2016-09,13617,monthly,8.11,01/09/2016
South West,E12000009,2016-09,9276,monthly,5.66,01/09/2016
West Midlands Region,E12000005,2016-09,7692,monthly,6.71,01/09/2016
London,E12000007,2016-10,8100,monthly,6.93,01/10/2016
North East,E12000001,2016-10,3061,monthly,2.22,01/10/2016
South East,E12000008,2016-10,12356,monthly,7.52,01/10/2016
South West,E12000009,2016-10,8873,monthly,5.08,01/10/2016
West Midlands Region,E12000005,2016-10,6992,monthly,5.68,01/10/2016
London,E12000007,2016-11,8178,monthly,5.69,01/11/2016
North East,E12000001,2016-11,3366,monthly,1.53,01/11/2016
South East,E12000008,2016-11,12669,monthly,6.71,01/11/2016
South West,E12000009,2016-11,9086,monthly,4.71,01/11/2016
West Midlands Region,E12000005,2016-11,7393,monthly,6.14,01/11/2016
London,E12000007,2016-12,8460,monthly,4.96,01/12/2016
North East,E12000001,2016-12,3661,monthly,2.21,01/12/2016
South East,E12000008,2016-12,14140,monthly,6.14,01/12/2016
South West,E12000009,2016-12,9921,monthly,4.16,01/12/2016
West Midlands Region,E12000005,2016-12,7930,monthly,6.13,01/12/2016
London,E12000007,2017-01,6931,monthly,3.97,01/01/2017
North East,E12000001,2017-01,2581,monthly,0.79,01/01/2017
South East,E12000008,2017-01,10227,monthly,6.54,01/01/2017
South West,E12000009,2017-01,6958,monthly,5.42,01/01/2017
West Midlands Region,E12000005,2017-01,5663,monthly,5.15,01/01/2017
London,E12000007,2017-02,7108,monthly,4.14,01/02/2017
North East,E12000001,2017-02,2701,monthly,2.48,01/02/2017
South East,E12000008,2017-02,10887,monthly,4.88,01/02/2017
South West,E12000009,2017-02,7145,monthly,5.11,01/02/2017
West Midlands Region,E12000005,2017-02,6037,monthly,6.43,01/02/2017
London,E12000007,2017-03,8659,monthly,2.32,01/03/2017
North East,E12000001,2017-03,3530,monthly,-0.8,01/03/2017
South East,E12000008,2017-03,12670,monthly,3.41,01/03/2017
South West,E12000009,2017-03,8763,monthly,1.99,01/03/2017
West Midlands Region,E12000005,2017-03,7552,monthly,6.05,01/03/2017
London,E12000007,2017-04,7120,monthly,4.06,01/04/2017
North East,E12000001,2017-04,3011,monthly,1.97,01/04/2017
South East,E12000008,2017-04,11007,monthly,5.33,01/04/2017
South West,E12000009,2017-04,7470,monthly,5.65,01/04/2017
West Midlands Region,E12000005,2017-04,6032,monthly,4.89,01/04/2017
London,E12000007,2017-05,7874,monthly,2.87,01/05/2017
North East,E12000001,2017-05,3088,monthly,1.91,01/05/2017
South East,E12000008,2017-05,11895,monthly,4.69,01/05/2017
South West,E12000009,2017-05,8279,monthly,4.85,01/05/2017
West Midlands Region,E12000005,2017-05,6822,monthly,4.84,01/05/2017
London,E12000007,2017-06,9192,monthly,2.57,01/06/2017
North East,E12000001,2017-06,4245,monthly,0.94,01/06/2017
South East,E12000008,2017-06,14680,monthly,4.34,01/06/2017
South West,E12000009,2017-06,10186,monthly,4.85,01/06/2017
West Midlands Region,E12000005,2017-06,8395,monthly,4.8,01/06/2017
London,E12000007,2017-07,8494,monthly,2.73,01/07/2017
North East,E12000001,2017-07,3452,monthly,0.21,01/07/2017
South East,E12000008,2017-07,13952,monthly,3.89,01/07/2017
South West,E12000009,2017-07,9322,monthly,5.62,01/07/2017
West Midlands Region,E12000005,2017-07,7782,monthly,5.81,01/07/2017
London,E12000007,2017-08,8921,monthly,3.21,01/08/2017
North East,E12000001,2017-08,3486,monthly,2.87,01/08/2017
South East,E12000008,2017-08,15084,monthly,4.23,01/08/2017
South West,E12000009,2017-08,10281,monthly,5.74,01/08/2017
West Midlands Region,E12000005,2017-08,8216,monthly,5.76,01/08/2017
London,E12000007,2017-09,8239,monthly,2.56,01/09/2017
North East,E12000001,2017-09,3562,monthly,2.2,01/09/2017
South East,E12000008,2017-09,13696,monthly,4.93,01/09/2017
South West,E12000009,2017-09,9403,monthly,5.15,01/09/2017
West Midlands Region,E12000005,2017-09,7957,monthly,5.25,01/09/2017
London,E12000007,2017-10,7990,monthly,2.28,01/10/2017
North East,E12000001,2017-10,3537,monthly,3.52,01/10/2017
South East,E12000008,2017-10,13422,monthly,4.57,01/10/2017
South West,E12000009,2017-10,9426,monthly,6.52,01/10/2017
West Midlands Region,E12000005,2017-10,7788,monthly,6.65,01/10/2017
London,E12000007,2017-11,7629,monthly,1.15,01/11/2017
North East,E12000001,2017-11,3661,monthly,1.77,01/11/2017
South East,E12000008,2017-11,13141,monthly,4.01,01/11/2017
South West,E12000009,2017-11,9494,monthly,5.14,01/11/2017
West Midlands Region,E12000005,2017-11,7945,monthly,5.24,01/11/2017
London,E12000007,2017-12,7883,monthly,0.95,01/12/2017
North East,E12000001,2017-12,3664,monthly,3,01/12/2017
South East,E12000008,2017-12,13223,monthly,3.73,01/12/2017
South West,E12000009,2017-12,9462,monthly,5.51,01/12/2017
West Midlands Region,E12000005,2017-12,7730,monthly,6.01,01/12/2017
London,E12000007,2018-01,6584,monthly,0.87,01/01/2018
North East,E12000001,2018-01,2523,monthly,1.73,01/01/2018
South East,E12000008,2018-01,10093,monthly,2.58,01/01/2018
South West,E12000009,2018-01,6722,monthly,5.74,01/01/2018
West Midlands Region,E12000005,2018-01,5852,monthly,5.24,01/01/2018
London,E12000007,2018-02,6386,monthly,0.24,01/02/2018
North East,E12000001,2018-02,2535,monthly,1.9,01/02/2018
South East,E12000008,2018-02,9950,monthly,3.66,01/02/2018
South West,E12000009,2018-02,7110,monthly,4.87,01/02/2018
West Midlands Region,E12000005,2018-02,6132,monthly,6.21,01/02/2018
London,E12000007,2018-03,7350,monthly,-0.65,01/03/2018
North East,E12000001,2018-03,3213,monthly,1.79,01/03/2018
South East,E12000008,2018-03,11783,monthly,3.04,01/03/2018
South West,E12000009,2018-03,7734,monthly,5.19,01/03/2018
West Midlands Region,E12000005,2018-03,7003,monthly,5.87,01/03/2018
London,E12000007,2018-04,6511,monthly,-0.53,01/04/2018
North East,E12000001,2018-04,2867,monthly,2.75,01/04/2018
South East,E12000008,2018-04,9781,monthly,2.48,01/04/2018
South West,E12000009,2018-04,7058,monthly,4.06,01/04/2018
West Midlands Region,E12000005,2018-04,5844,monthly,5.49,01/04/2018
London,E12000007,2018-05,6980,monthly,-0.5,01/05/2018
North East,E12000001,2018-05,3301,monthly,1.39,01/05/2018
South East,E12000008,2018-05,11436,monthly,2.06,01/05/2018
South West,E12000009,2018-05,8038,monthly,3.55,01/05/2018
West Midlands Region,E12000005,2018-05,6757,monthly,4.42,01/05/2018
London,E12000007,2018-06,8135,monthly,-0.05,01/06/2018
North East,E12000001,2018-06,4050,monthly,-0.04,01/06/2018
South East,E12000008,2018-06,13779,monthly,1.98,01/06/2018
South West,E12000009,2018-06,9476,monthly,3.09,01/06/2018
West Midlands Region,E12000005,2018-06,8141,monthly,4.68,01/06/2018
London,E12000007,2018-07,8303,monthly,-0.78,01/07/2018
North East,E12000001,2018-07,3460,monthly,2.55,01/07/2018
South East,E12000008,2018-07,13184,monthly,1.87,01/07/2018
South West,E12000009,2018-07,8792,monthly,3.21,01/07/2018
West Midlands Region,E12000005,2018-07,7454,monthly,4.85,01/07/2018
London,E12000007,2018-08,8975,monthly,-1.55,01/08/2018
North East,E12000001,2018-08,3935,monthly,0.49,01/08/2018
South East,E12000008,2018-08,14793,monthly,1.54,01/08/2018
South West,E12000009,2018-08,10305,monthly,3.21,01/08/2018
West Midlands Region,E12000005,2018-08,8295,monthly,3.96,01/08/2018
London,E12000007,2018-09,7636,monthly,-1.51,01/09/2018
North East,E12000001,2018-09,3115,monthly,2.11,01/09/2018
South East,E12000008,2018-09,11992,monthly,1.38,01/09/2018
South West,E12000009,2018-09,8137,monthly,3.8,01/09/2018
West Midlands Region,E12000005,2018-09,7180,monthly,5.25,01/09/2018
London,E12000007,2018-10,7956,monthly,-0.35,01/10/2018
North East,E12000001,2018-10,3560,monthly,1.69,01/10/2018
South East,E12000008,2018-10,13093,monthly,0.75,01/10/2018
South West,E12000009,2018-10,9362,monthly,2.36,01/10/2018
West Midlands Region,E12000005,2018-10,7895,monthly,4.83,01/10/2018
London,E12000007,2018-11,8130,monthly,-0.41,01/11/2018
North East,E12000001,2018-11,3829,monthly,1.39,01/11/2018
South East,E12000008,2018-11,13696,monthly,0.95,01/11/2018
South West,E12000009,2018-11,9595,monthly,3.04,01/11/2018
West Midlands Region,E12000005,2018-11,8943,monthly,4.14,01/11/2018
London,E12000007,2018-12,6957,monthly,-0.75,01/12/2018
North East,E12000001,2018-12,3358,monthly,-1.09,01/12/2018
South East,E12000008,2018-12,11914,monthly,0.12,01/12/2018
South West,E12000009,2018-12,8447,monthly,2.92,01/12/2018
West Midlands Region,E12000005,2018-12,7365,monthly,4.2,01/12/2018
London,E12000007,2019-01,6031,monthly,-2.02,01/01/2019
North East,E12000001,2019-01,2538,monthly,1.03,01/01/2019
South East,E12000008,2019-01,9325,monthly,0.39,01/01/2019
South West,E12000009,2019-01,6526,monthly,0.83,01/01/2019
West Midlands Region,E12000005,2019-01,5458,monthly,4.07,01/01/2019
London,E12000007,2019-02,5967,monthly,-2.47,01/02/2019
North East,E12000001,2019-02,2617,monthly,-1.51,01/02/2019
South East,E12000008,2019-02,9410,monthly,-0.4,01/02/2019
South West,E12000009,2019-02,6476,monthly,1.77,01/02/2019
West Midlands Region,E12000005,2019-02,6023,monthly,3.51,01/02/2019
London,E12000007,2019-03,6875,monthly,-1.73,01/03/2019
North East,E12000001,2019-03,3337,monthly,0.51,01/03/2019
South East,E12000008,2019-03,10703,monthly,-0.86,01/03/2019
South West,E12000009,2019-03,7615,monthly,0.97,01/03/2019
West Midlands Region,E12000005,2019-03,6870,monthly,2.62,01/03/2019
London,E12000007,2019-04,6063,monthly,-1.62,01/04/2019
North East,E12000001,2019-04,2807,monthly,0.42,01/04/2019
South East,E12000008,2019-04,10174,monthly,-0.76,01/04/2019
South West,E12000009,2019-04,6983,monthly,1.07,01/04/2019
West Midlands Region,E12000005,2019-04,6227,monthly,2.14,01/04/2019
London,E12000007,2019-05,6815,monthly,-3.11,01/05/2019
North East,E12000001,2019-05,3338,monthly,0.01,01/05/2019
South East,E12000008,2019-05,11063,monthly,-1.11,01/05/2019
South West,E12000009,2019-05,7763,monthly,0.56,01/05/2019
West Midlands Region,E12000005,2019-05,6883,monthly,2.98,01/05/2019
London,E12000007,2019-06,6991,monthly,-1.96,01/06/2019
North East,E12000001,2019-06,3628,monthly,1.14,01/06/2019
South East,E12000008,2019-06,11537,monthly,-1.18,01/06/2019
South West,E12000009,2019-06,8057,monthly,0.04,01/06/2019
West Midlands Region,E12000005,2019-06,7130,monthly,1.44,01/06/2019
London,E12000007,2019-07,8275,monthly,-1.28,01/07/2019
North East,E12000001,2019-07,3467,monthly,-1.07,01/07/2019
South East,E12000008,2019-07,12874,monthly,-1.39,01/07/2019
South West,E12000009,2019-07,8596,monthly,0.5,01/07/2019
West Midlands Region,E12000005,2019-07,7185,monthly,0.7,01/07/2019
London,E12000007,2019-08,8797,monthly,-1.42,01/08/2019
North East,E12000001,2019-08,3708,monthly,0.82,01/08/2019
South East,E12000008,2019-08,14003,monthly,-1.63,01/08/2019
South West,E12000009,2019-08,9127,monthly,-0.06,01/08/2019
West Midlands Region,E12000005,2019-08,7863,monthly,1.8,01/08/2019
London,E12000007,2019-09,7586,monthly,0.13,01/09/2019
North East,E12000001,2019-09,3252,monthly,1.3,01/09/2019
South East,E12000008,2019-09,11931,monthly,-1.01,01/09/2019
South West,E12000009,2019-09,7938,monthly,-0.02,01/09/2019
West Midlands Region,E12000005,2019-09,6913,monthly,1.18,01/09/2019
London,E12000007,2019-10,7901,monthly,-1.54,01/10/2019
North East,E12000001,2019-10,3444,monthly,-1.1,01/10/2019
South East,E12000008,2019-10,12908,monthly,-0.68,01/10/2019
South West,E12000009,2019-10,8781,monthly,0.68,01/10/2019
West Midlands Region,E12000005,2019-10,7749,monthly,1.01,01/10/2019
London,E12000007,2019-11,7833,monthly,-1.18,01/11/2019
North East,E12000001,2019-11,3904,monthly,0.46,01/11/2019
South East,E12000008,2019-11,13231,monthly,-0.33,01/11/2019
South West,E12000009,2019-11,9101,monthly,-0.15,01/11/2019
West Midlands Region,E12000005,2019-11,7878,monthly,1.86,01/11/2019
London,E12000007,2019-12,7107,monthly,1.25,01/12/2019
North East,E12000001,2019-12,3370,monthly,0.48,01/12/2019
South East,E12000008,2019-12,12615,monthly,0.05,01/12/2019
South West,E12000009,2019-12,8489,monthly,-0.09,01/12/2019
West Midlands Region,E12000005,2019-12,7270,monthly,-0.08,01/12/2019
London,E12000007,2020-01,6527,monthly,1.25,01/01/2020
North East,E12000001,2020-01,2733,monthly,1.51,01/01/2020
South East,E12000008,2020-01,9742,monthly,-0.16,01/01/2020
South West,E12000009,2020-01,6566,monthly,1.12,01/01/2020
West Midlands Region,E12000005,2020-01,5692,monthly,2.85,01/01/2020
London,E12000007,2020-02,6465,monthly,1.8,01/02/2020
North East,E12000001,2020-02,2604,monthly,1.97,01/02/2020
South East,E12000008,2020-02,9889,monthly,-0.6,01/02/2020
South West,E12000009,2020-02,6465,monthly,0.38,01/02/2020
West Midlands Region,E12000005,2020-02,5674,monthly,0.81,01/02/2020
London,E12000007,2020-03,6842,monthly,3.97,01/03/2020
North East,E12000001,2020-03,2623,monthly,2.92,01/03/2020
South East,E12000008,2020-03,10166,monthly,1.9,01/03/2020
South West,E12000009,2020-03,6818,monthly,2.53,01/03/2020
West Midlands Region,E12000005,2020-03,5554,monthly,2.35,01/03/2020
London,E12000007,2020-04,3206,monthly,1.41,01/04/2020
North East,E12000001,2020-04,1003,monthly,-4.38,01/04/2020
South East,E12000008,2020-04,4138,monthly,1.96,01/04/2020
South West,E12000009,2020-04,2467,monthly,1.42,01/04/2020
West Midlands Region,E12000005,2020-04,2290,monthly,-0.21,01/04/2020
London,E12000007,2020-05,2929,monthly,2.07,01/05/2020
North East,E12000001,2020-05,1557,monthly,-0.66,01/05/2020
South East,E12000008,2020-05,5049,monthly,0.81,01/05/2020
South West,E12000009,2020-05,3494,monthly,1.46,01/05/2020
West Midlands Region,E12000005,2020-05,3216,monthly,1.6,01/05/2020
London,E12000007,2020-06,4511,monthly,2.01,01/06/2020
North East,E12000001,2020-06,2395,monthly,0.12,01/06/2020
South East,E12000008,2020-06,7833,monthly,0.37,01/06/2020
South West,E12000009,2020-06,5379,monthly,2.65,01/06/2020
West Midlands Region,E12000005,2020-06,4649,monthly,2.36,01/06/2020
London,E12000007,2020-07,5988,monthly,1.11,01/07/2020
North East,E12000001,2020-07,2733,monthly,0.72,01/07/2020
South East,E12000008,2020-07,9560,monthly,0.99,01/07/2020
South West,E12000009,2020-07,6413,monthly,2.09,01/07/2020
West Midlands Region,E12000005,2020-07,5449,monthly,2.96,01/07/2020
London,E12000007,2020-08,6148,monthly,3.53,01/08/2020
North East,E12000001,2020-08,2920,monthly,0.08,01/08/2020
South East,E12000008,2020-08,9855,monthly,2.08,01/08/2020
South West,E12000009,2020-08,6477,monthly,2.65,01/08/2020
West Midlands Region,E12000005,2020-08,5471,monthly,2.8,01/08/2020
London,E12000007,2020-09,7087,monthly,3.37,01/09/2020
North East,E12000001,2020-09,3063,monthly,2.18,01/09/2020
South East,E12000008,2020-09,11245,monthly,2.52,01/09/2020
South West,E12000009,2020-09,7310,monthly,4.23,01/09/2020
West Midlands Region,E12000005,2020-09,5769,monthly,3.4,01/09/2020
London,E12000007,2020-10,8083,monthly,2.87,01/10/2020
North East,E12000001,2020-10,3921,monthly,4.17,01/10/2020
South East,E12000008,2020-10,13862,monthly,3.17,01/10/2020
South West,E12000009,2020-10,9373,monthly,5.06,01/10/2020
West Midlands Region,E12000005,2020-10,7473,monthly,4.42,01/10/2020
London,E12000007,2020-11,7825,monthly,5.5,01/11/2020
North East,E12000001,2020-11,3675,monthly,6.07,01/11/2020
South East,E12000008,2020-11,13969,monthly,4.51,01/11/2020
South West,E12000009,2020-11,9128,monthly,6.49,01/11/2020
West Midlands Region,E12000005,2020-11,7174,monthly,5.12,01/11/2020
London,E12000007,2020-12,9201,monthly,3.14,01/12/2020
North East,E12000001,2020-12,3883,monthly,7.48,01/12/2020
South East,E12000008,2020-12,15999,monthly,5.11,01/12/2020
South West,E12000009,2020-12,10808,monthly,7.85,01/12/2020
West Midlands Region,E12000005,2020-12,8128,monthly,7.7,01/12/2020
London,E12000007,2021-01,7398,monthly,4.87,01/01/2021
North East,E12000001,2021-01,2884,monthly,9.34,01/01/2021
South East,E12000008,2021-01,12652,monthly,5.86,01/01/2021
South West,E12000009,2021-01,7710,monthly,7.68,01/01/2021
West Midlands Region,E12000005,2021-01,6059,monthly,6.33,01/01/2021